list-none-m,1,1000,1,3000,22278638,7426,127
list-none-m,2,1000,1,6000,48122344,8020,4352
list-none-m,4,1000,1,12000,92378703,7698,12708
list-none-m,8,1000,1,24000,1408711607,58696,204965
list-none-m,12,1000,1,36000,1502203100,41727,663292
list-none-m,16,1000,1,48000,2101209415,43775,1193084
list-none-m,24,1000,1,72000,6966329913,96754,2981768
list-none-m,24,1000,1,72000,4046833579,56206,2094849
list-none-m,32,1000,1,96000,8191049349,85323,3337974
list-none-s,1,1000,1,3000,5900660,1966,1
list-none-s,2,1000,1,6000,34243182,5707,5429
list-none-s,4,1000,1,12000,108478354,9039,26774
list-none-s,8,1000,1,24000,495319251,20638,143429
list-none-s,12,1000,1,36000,2234852213,62079,985850
list-none-s,16,1000,1,48000,2490888914,51893,1401282
list-none-s,24,1000,1,72000,6825031168,94792,3267241
list-none-s,32,1000,1,96000,10556353295,109962,5040405
list-id-none,1,1,4,3,173721,57907,0
list-id-none,1,2,4,6,144259,24043,0
list-id-none,1,4,4,12,138017,11501,0
list-id-none,1,8,4,24,158791,6616,0
list-id-none,1,16,4,48,174848,3642,0
list-id-m,1,10,4,30,119259,3975,473
list-id-m,1,20,4,60,195952,3265,31
list-id-m,1,40,4,120,236159,1967,23
list-id-m,1,80,4,240,287806,1199,11
list-id-m,4,10,4,120,262434,2186,1659
list-id-m,4,20,4,240,311890,1299,988
list-id-m,4,40,4,480,475916,991,1175
list-id-m,4,80,4,960,939374,978,1297
list-id-m,8,10,4,240,299945,1249,2011
list-id-m,8,20,4,480,566746,1180,2823
list-id-m,8,40,4,960,937387,976,3481
list-id-m,8,80,4,1920,1948362,1014,4028
list-id-m,12,10,4,360,535342,1487,4741
list-id-m,12,20,4,720,700221,972,4349
list-id-m,12,40,4,1440,1323629,919,5802
list-id-m,12,80,4,2880,2806808,974,7221
list-id-m,16,10,4,480,635757,1324,5872
list-id-m,16,20,4,960,874932,911,5523
list-id-m,16,40,4,1920,1800140,937,8159
list-id-m,16,80,4,3840,3800819,989,10507
list-id-s,1,10,4,30,89514,2983,12
list-id-s,1,20,4,60,157553,2625,8
list-id-s,1,40,4,120,246308,2052,4
list-id-s,1,80,4,240,323657,1348,3
list-id-s,4,10,4,120,210076,1750,518
list-id-s,4,20,4,240,291382,1214,790
list-id-s,4,40,4,480,406011,845,545
list-id-s,4,80,4,960,788565,821,821
list-id-s,8,10,4,240,253533,1056,490
list-id-s,8,20,4,480,403842,841,1124
list-id-s,8,40,4,960,765224,797,2301
list-id-s,8,80,4,1920,1738006,905,3401
list-id-s,12,10,4,360,367503,1020,740
list-id-s,12,20,4,720,499222,693,1585
list-id-s,12,40,4,1440,1162436,807,4262
