list-none-none,1,10,1,30,257641,8588
list-none-none,1,100,1,300,336239,1120
list-none-none,1,1000,1,3000,6392329,2130
list-none-none,1,10000,1,30000,1125627532,37520
list-none-none,1,20000,1,60000,5228938192,87148
list-i-m,12,32,1,1152,9231419,8013
list-d-m,12,32,1,1152,22401728,19445
list-il-m,12,32,1,1152,54773571,47546
list-dl-m,12,32,1,1152,47657306,41369
list-i-s,12,32,1,1152,62011608,53829
list-d-s,12,32,1,1152,3568611,3097
list-il-s,12,32,1,1152,407648501,353861
list-dl-s,12,32,1,1152,1169738605,1015398
list-none-none,1,1000,1,3000,6386121,2128
list-none-m,1,1000,1,3000,9656936,3218
list-none-m,2,1000,1,6000,19479769,3246
list-none-m,4,1000,1,12000,119317138,9943
list-none-m,8,1000,1,24000,416048476,17335
list-none-m,12,1000,1,36000,2180240259,60562
list-none-m,16,1000,1,48000,1968382656,41007
list-none-m,24,1000,1,72000,4120327070,57226
list-none-s,1,1000,1,3000,4172533,1390
list-none-s,2,1000,1,6000,42050431,7008
list-none-s,4,1000,1,12000,280446415,23370
list-none-s,8,1000,1,24000,1533189691,63882
list-none-s,12,1000,1,36000,2316525395,64347
list-none-s,16,1000,1,48000,12367986850,257666
list-none-s,24,1000,1,72000,49376036997,685778
list-none-none,2,1,1,6,91382,15230
list-none-none,2,10,1,60,54824,913
list-none-none,2,100,1,600,292479,487
list-none-none,2,1000,1,6000,12230982,2038
list-none-none,4,1,1,12,99936,8328
list-none-none,4,10,1,120,122142,1017
list-none-none,8,1,1,24,215411,8975
list-none-none,8,10,1,240,165917,691
list-none-none,12,1,1,36,292195,8116
list-i-none,2,1,1,6,86060,14343
list-i-none,2,2,1,12,84096,7008
list-i-none,2,4,1,24,83601,3483
list-i-none,2,8,1,48,83980,1749
list-i-none,4,1,1,12,111506,9292
list-i-none,8,2,1,48,198283,4130
list-i-none,8,4,1,96,221446,2306
list-i-none,8,8,1,192,203678,1060
list-i-none,12,1,1,36,282415,7844
list-i-none,12,4,1,144,265862,1846
list-d-none,2,1,1,6,99579,16596
list-d-none,2,2,1,12,96588,8049
list-d-none,2,4,1,24,109516,4563
list-d-none,2,8,1,48,63384,1320
list-d-none,2,32,1,192,112374,585
list-d-none,4,1,1,12,126946,10578
list-d-none,4,2,1,24,129999,5416
list-d-none,8,2,1,48,192110,4002
list-d-none,8,4,1,96,189573,1974
list-d-none,8,8,1,192,210731,1097
list-d-none,12,1,1,36,299842,8328
list-d-none,12,2,1,72,287375,3991
list-d-none,12,8,1,288,317363,1101
list-il-none,2,2,1,12,101858,8488
list-il-none,2,16,1,96,135990,1416
list-il-none,4,4,1,48,92060,1917
list-il-none,8,2,1,48,194432,4050
list-il-none,8,4,1,96,239135,2490
list-il-none,12,1,1,36,300654,8351
list-dl-none,2,1,1,6,89024,14837
list-dl-none,2,2,1,12,85673,7139
list-dl-none,2,4,1,24,87596,3649
list-dl-none,2,8,1,48,755414,15737
list-dl-none,4,1,1,12,124800,10400
list-dl-none,4,2,1,24,104943,4372
list-dl-none,4,4,1,48,134623,2804
list-dl-none,8,1,1,24,199095,8295
list-dl-none,12,1,1,36,308053,8557
list-dl-none,12,2,1,72,246806,3427
